Country,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
Scotland,Premier League,13/08/94,Aberdeen,Hearts,3.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,13/08/94,Falkirk,Celtic,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,13/08/94,Hibernian,Dundee United,5.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,13/08/94,Partick,Kilmarnock,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,13/08/94,Rangers,Motherwell,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,20/08/94,Aberdeen,Falkirk,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,20/08/94,Celtic,Dundee United,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,20/08/94,Hibernian,Kilmarnock,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,20/08/94,Motherwell,Hearts,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,20/08/94,Partick,Rangers,0.0,2.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,28/08/94,Dundee United,Aberdeen,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,28/08/94,Falkirk,Partick,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,28/08/94,Hearts,Hibernian,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,28/08/94,Kilmarnock,Motherwell,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,28/08/94,Rangers,Celtic,0.0,2.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,10/09/94,Dundee United,Motherwell,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,10/09/94,Hibernian,Aberdeen,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,10/09/94,Kilmarnock,Falkirk,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,10/09/94,Partick,Celtic,1.0,2.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,11/09/94,Rangers,Hearts,3.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,17/09/94,Aberdeen,Partick,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,17/09/94,Celtic,Kilmarnock,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,17/09/94,Falkirk,Rangers,0.0,2.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,17/09/94,Hearts,Dundee United,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,17/09/94,Motherwell,Hibernian,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,24/09/94,Aberdeen,Rangers,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,24/09/94,Celtic,Hibernian,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,24/09/94,Dundee United,Falkirk,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,24/09/94,Hearts,Kilmarnock,3.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,24/09/94,Partick,Motherwell,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,01/10/94,Falkirk,Hearts,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,01/10/94,Hibernian,Partick,3.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,01/10/94,Kilmarnock,Aberdeen,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,01/10/94,Motherwell,Celtic,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,01/10/94,Rangers,Dundee United,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,08/10/94,Celtic,Aberdeen,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,08/10/94,Hibernian,Rangers,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,08/10/94,Kilmarnock,Dundee United,0.0,2.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,08/10/94,Motherwell,Falkirk,5.0,3.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,08/10/94,Partick,Hearts,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,15/10/94,Aberdeen,Motherwell,1.0,3.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,15/10/94,Dundee United,Partick,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,15/10/94,Falkirk,Hibernian,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,15/10/94,Hearts,Celtic,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,15/10/94,Rangers,Kilmarnock,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Scotland,Premier League,22/10/94,Celtic,Falkirk,0.0,2.0,A,,,,,,,,,,,,,,,,,,,,,
