Country,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
Belgium,Jupiler League,04/08/95,Aalst,Anderlecht,3.0,1.0,H,1.0,1.0,D,,,,,,,,,,,
Belgium,Jupiler League,05/08/95,Cercle Brugge,Antwerp,3.0,2.0,H,0.0,2.0,A,,,,,,,,,,,
Belgium,Jupiler League,05/08/95,Charleroi,Mechelen,4.0,2.0,H,1.0,0.0,H,,,,,,,,,,,
Belgium,Jupiler League,05/08/95,Lierse,Harelbeke,0.0,1.0,A,0.0,0.0,D,,,,,,,,,,,
Belgium,Jupiler League,05/08/95,Molenbeek,Beveren,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,
Belgium,Jupiler League,05/08/95,St Truiden,Seraing,4.0,1.0,H,2.0,0.0,H,,,,,,,,,,,
Belgium,Jupiler League,05/08/95,Standard,Lommel,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,
Belgium,Jupiler League,05/08/95,Waregem,Gent,2.0,2.0,D,0.0,1.0,A,,,,,,,,,,,
Belgium,Jupiler League,06/08/95,Germinal,Club Brugge,1.0,2.0,A,0.0,1.0,A,,,,,,,,,,,
Belgium,Jupiler League,11/08/95,Club Brugge,St Truiden,2.0,0.0,H,1.0,0.0,H,,,,,,,,,,,
Belgium,Jupiler League,12/08/95,Anderlecht,Charleroi,0.0,2.0,A,0.0,1.0,A,,,,,,,,,,,
Belgium,Jupiler League,12/08/95,Antwerp,Lierse,3.0,1.0,H,2.0,1.0,H,,,,,,,,,,,
Belgium,Jupiler League,12/08/95,Beveren,Aalst,0.0,2.0,A,0.0,1.0,A,,,,,,,,,,,
Belgium,Jupiler League,12/08/95,Gent,Standard,2.0,4.0,A,0.0,0.0,D,,,,,,,,,,,
Belgium,Jupiler League,12/08/95,Lommel,Cercle Brugge,0.0,1.0,A,0.0,1.0,A,,,,,,,,,,,
Belgium,Jupiler League,12/08/95,Mechelen,Germinal,1.0,1.0,D,0.0,1.0,A,,,,,,,,,,,
Belgium,Jupiler League,12/08/95,Seraing,Waregem,0.0,2.0,A,0.0,0.0,D,,,,,,,,,,,
Belgium,Jupiler League,13/08/95,Harelbeke,Molenbeek,4.0,2.0,H,2.0,0.0,H,,,,,,,,,,,
Belgium,Jupiler League,16/08/95,Aalst,Harelbeke,2.0,0.0,H,2.0,0.0,H,,,,,,,,,,,
Belgium,Jupiler League,16/08/95,Cercle Brugge,Gent,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,
Belgium,Jupiler League,16/08/95,Charleroi,Beveren,3.0,1.0,H,2.0,0.0,H,,,,,,,,,,,
Belgium,Jupiler League,16/08/95,Lierse,Lommel,3.0,1.0,H,2.0,0.0,H,,,,,,,,,,,
