Country,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
Portugal,Liga I,20/08/95,Benfica,Salgueiros,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,
Portugal,Liga I,20/08/95,Boavista,Belenenses,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Portugal,Liga I,20/08/95,Campomaior,Guimaraes,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,
Portugal,Liga I,20/08/95,Farense,Tirsense,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Portugal,Liga I,20/08/95,Felgueiras,Desp. Chaves,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,
Portugal,Liga I,20/08/95,Leca,Gil Vicente,0.0,2.0,A,,,,,,,,,,,,,,,,,,,,,
Portugal,Liga I,20/08/95,Leiria,Maritimo,0.0,4.0,A,,,,,,,,,,,,,,,,,,,,,
Portugal,Liga I,20/08/95,Porto,Sp Lisbon,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Portugal,Liga I,20/08/95,Sp Braga,Est Amadora,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Portugal,Liga I,27/08/95,Belenenses,Sp Braga,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,
Portugal,Liga I,27/08/95,Desp. Chaves,Leca,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,
Portugal,Liga I,27/08/95,Est Amadora,Campomaior,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Portugal,Liga I,27/08/95,Gil Vicente,Porto,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,
Portugal,Liga I,27/08/95,Guimaraes,Farense,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Portugal,Liga I,27/08/95,Maritimo,Felgueiras,0.0,2.0,A,,,,,,,,,,,,,,,,,,,,,
Portugal,Liga I,27/08/95,Salgueiros,Leiria,4.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Portugal,Liga I,27/08/95,Sp Lisbon,Boavista,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,
Portugal,Liga I,27/08/95,Tirsense,Benfica,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,
Portugal,Liga I,03/09/95,Benfica,Guimaraes,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,
Portugal,Liga I,03/09/95,Boavista,Gil Vicente,3.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Portugal,Liga I,03/09/95,Campomaior,Belenenses,2.0,3.0,A,,,,,,,,,,,,,,,,,,,,,
Portugal,Liga I,03/09/95,Farense,Est Amadora,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Portugal,Liga I,03/09/95,Felgueiras,Leca,1.0,2.0,A,,,,,,,,,,,,,,,,,,,,,
Portugal,Liga I,03/09/95,Leiria,Tirsense,5.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
