Country,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
France,Le Championnat,11/08/96,Bastia,Rennes,2.0,0.0,H,1.0,0.0,H,,,,,,,,,,,
France,Le Championnat,11/08/96,Bordeaux,Le Havre,1.0,0.0,H,1.0,0.0,H,,,,,,,,,,,
France,Le Championnat,11/08/96,Caen,Lens,0.0,2.0,A,0.0,1.0,A,,,,,,,,,,,
France,Le Championnat,11/08/96,Guingamp,Montpellier,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,
France,Le Championnat,11/08/96,Lille,Metz,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,
France,Le Championnat,11/08/96,Marseille,Lyon,3.0,1.0,H,1.0,1.0,D,,,,,,,,,,,
France,Le Championnat,11/08/96,Nancy,Cannes,1.0,2.0,A,0.0,1.0,A,,,,,,,,,,,
France,Le Championnat,11/08/96,Nantes,Monaco,1.0,3.0,A,0.0,1.0,A,,,,,,,,,,,
France,Le Championnat,11/08/96,Nice,Auxerre,0.0,1.0,A,0.0,1.0,A,,,,,,,,,,,
France,Le Championnat,11/08/96,Strasbourg,Paris SG,0.0,1.0,A,0.0,1.0,A,,,,,,,,,,,
France,Le Championnat,17/08/96,Auxerre,Lille,2.0,0.0,H,0.0,0.0,D,,,,,,,,,,,
France,Le Championnat,17/08/96,Bastia,Guingamp,1.0,0.0,H,1.0,0.0,H,,,,,,,,,,,
France,Le Championnat,17/08/96,Cannes,Nantes,1.0,1.0,D,1.0,0.0,H,,,,,,,,,,,
France,Le Championnat,17/08/96,Le Havre,Marseille,1.0,1.0,D,0.0,1.0,A,,,,,,,,,,,
France,Le Championnat,17/08/96,Lens,Nancy,3.0,1.0,H,0.0,1.0,A,,,,,,,,,,,
France,Le Championnat,17/08/96,Lyon,Strasbourg,2.0,0.0,H,1.0,0.0,H,,,,,,,,,,,
France,Le Championnat,17/08/96,Metz,Bordeaux,1.0,1.0,D,0.0,0.0,D,,,,,,,,,,,
France,Le Championnat,17/08/96,Monaco,Montpellier,1.0,1.0,D,1.0,1.0,D,,,,,,,,,,,
France,Le Championnat,17/08/96,Paris SG,Caen,2.0,0.0,H,0.0,0.0,D,,,,,,,,,,,
France,Le Championnat,17/08/96,Rennes,Nice,3.0,1.0,H,1.0,0.0,H,,,,,,,,,,,
France,Le Championnat,23/08/96,Nancy,Paris SG,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,
France,Le Championnat,24/08/96,Bordeaux,Auxerre,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,
France,Le Championnat,24/08/96,Caen,Lyon,1.0,1.0,D,0.0,0.0,D,,,,,,,,,,,
France,Le Championnat,24/08/96,Guingamp,Monaco,2.0,1.0,H,2.0,1.0,H,,,,,,,,,,,
France,Le Championnat,24/08/96,Lille,Rennes,3.0,1.0,H,0.0,0.0,D,,,,,,,,,,,
France,Le Championnat,24/08/96,Marseille,Metz,1.0,2.0,A,1.0,0.0,H,,,,,,,,,,,
France,Le Championnat,24/08/96,Montpellier,Cannes,0.0,1.0,A,0.0,1.0,A,,,,,,,,,,,
France,Le Championnat,24/08/96,Nantes,Lens,0.0,1.0,A,0.0,0.0,D,,,,,,,,,,,
France,Le Championnat,24/08/96,Nice,Bastia,1.0,1.0,D,1.0,0.0,H,,,,,,,,,,,
France,Le Championnat,24/08/96,Strasbourg,Le Havre,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,
France,Le Championnat,27/08/96,Auxerre,Marseille,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,
France,Le Championnat,28/08/96,Bastia,Lille,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,
France,Le Championnat,28/08/96,Cannes,Monaco,0.0,2.0,A,0.0,1.0,A,,,,,,,,,,,
France,Le Championnat,28/08/96,Le Havre,Caen,1.0,1.0,D,1.0,1.0,D,,,,,,,,,,,
France,Le Championnat,28/08/96,Lens,Montpellier,3.0,2.0,H,1.0,2.0,A,,,,,,,,,,,
France,Le Championnat,28/08/96,Lyon,Nancy,2.0,0.0,H,2.0,0.0,H,,,,,,,,,,,
France,Le Championnat,28/08/96,Metz,Strasbourg,3.0,1.0,H,1.0,0.0,H,,,,,,,,,,,
France,Le Championnat,28/08/96,Nice,Guingamp,1.0,2.0,A,0.0,1.0,A,,,,,,,,,,,
France,Le Championnat,28/08/96,Paris SG,Nantes,1.0,0.0,H,1.0,0.0,H,,,,,,,,,,,
France,Le Championnat,28/08/96,Rennes,Bordeaux,1.0,1.0,D,1.0,0.0,H,,,,,,,,,,,
France,Le Championnat,02/09/96,Nantes,Lyon,2.0,2.0,D,1.0,1.0,D,,,,,,,,,,,
France,Le Championnat,03/09/96,Bordeaux,Bastia,3.0,1.0,H,1.0,0.0,H,,,,,,,,,,,
France,Le Championnat,03/09/96,Caen,Metz,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,
France,Le Championnat,03/09/96,Guingamp,Cannes,0.0,1.0,A,0.0,0.0,D,,,,,,,,,,,
France,Le Championnat,03/09/96,Lille,Nice,3.0,2.0,H,1.0,1.0,D,,,,,,,,,,,
France,Le Championnat,03/09/96,Marseille,Rennes,3.0,1.0,H,3.0,0.0,H,,,,,,,,,,,
France,Le Championnat,03/09/96,Monaco,Lens,5.0,1.0,H,4.0,0.0,H,,,,,,,,,,,
France,Le Championnat,03/09/96,Montpellier,Paris SG,0.0,3.0,A,0.0,0.0,D,,,,,,,,,,,
France,Le Championnat,03/09/96,Nancy,Le Havre,0.0,1.0,A,0.0,1.0,A,,,,,,,,,,,
France,Le Championnat,03/09/96,Strasbourg,Auxerre,2.0,1.0,H,2.0,0.0,H,,,,,,,,,,,
France,Le Championnat,06/09/96,Auxerre,Caen,2.0,0.0,H,2.0,0.0,H,,,,,,,,,,,
France,Le Championnat,06/09/96,Le Havre,Nantes,3.0,1.0,H,1.0,1.0,D,,,,,,,,,,,
France,Le Championnat,06/09/96,Lens,Cannes,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,
France,Le Championnat,06/09/96,Lille,Guingamp,1.0,1.0,D,0.0,0.0,D,,,,,,,,,,,
France,Le Championnat,06/09/96,Lyon,Montpellier,1.0,1.0,D,1.0,0.0,H,,,,,,,,,,,
