Country,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
Netherlands,Eredivisie,20/08/96,Roda JC,Feyenoord,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,21/08/96,Ajax,NAC Breda,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,21/08/96,AZ Alkmaar,Vitesse,0.0,2.0,A,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,21/08/96,Groningen,Willem II,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,21/08/96,Heerenveen,Twente,1.0,3.0,A,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,21/08/96,Sparta,For Sittard,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,21/08/96,Utrecht,Waalwijk,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,21/08/96,Volendam,Graafschap,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,22/08/96,Nijmegen,PSV Eindhoven,1.0,4.0,A,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,24/08/96,Graafschap,Waalwijk,3.0,2.0,H,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,24/08/96,Heerenveen,Ajax,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,24/08/96,NAC Breda,Sparta,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,24/08/96,Willem II,For Sittard,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,25/08/96,Feyenoord,Volendam,3.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,25/08/96,Nijmegen,AZ Alkmaar,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,25/08/96,PSV Eindhoven,Groningen,4.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,25/08/96,Twente,Roda JC,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,25/08/96,Vitesse,Utrecht,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,27/08/96,For Sittard,Heerenveen,2.0,4.0,A,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,28/08/96,Ajax,AZ Alkmaar,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,28/08/96,Feyenoord,Graafschap,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,28/08/96,Groningen,Roda JC,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,28/08/96,Utrecht,Twente,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,28/08/96,Vitesse,Sparta,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,28/08/96,Volendam,PSV Eindhoven,1.0,3.0,A,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,28/08/96,Willem II,Waalwijk,1.0,3.0,A,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,29/08/96,NAC Breda,Nijmegen,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,03/09/96,For Sittard,Feyenoord,0.0,2.0,A,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,03/09/96,Heerenveen,NAC Breda,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,03/09/96,Utrecht,Groningen,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,04/09/96,AZ Alkmaar,Volendam,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,04/09/96,Graafschap,Nijmegen,4.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,04/09/96,Roda JC,Ajax,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,04/09/96,Sparta,Twente,1.0,2.0,A,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,04/09/96,Willem II,Vitesse,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,05/09/96,PSV Eindhoven,Waalwijk,4.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,06/09/96,Groningen,Heerenveen,1.0,5.0,A,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,07/09/96,AZ Alkmaar,For Sittard,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,07/09/96,Feyenoord,Willem II,4.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,07/09/96,Roda JC,Volendam,3.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,08/09/96,Nijmegen,Ajax,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,08/09/96,PSV Eindhoven,NAC Breda,5.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,08/09/96,Sparta,Utrecht,3.0,2.0,H,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,08/09/96,Twente,Graafschap,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,13/09/96,Vitesse,Heerenveen,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,14/09/96,For Sittard,Utrecht,1.0,3.0,A,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,14/09/96,NAC Breda,AZ Alkmaar,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,15/09/96,Ajax,Sparta,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,15/09/96,Graafschap,PSV Eindhoven,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,15/09/96,Groningen,Nijmegen,2.0,4.0,A,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,15/09/96,Twente,Feyenoord,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,15/09/96,Volendam,Willem II,2.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,15/09/96,Waalwijk,Roda JC,0.0,2.0,A,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,20/09/96,Heerenveen,Nijmegen,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,21/09/96,For Sittard,Volendam,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,21/09/96,NAC Breda,Roda JC,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,21/09/96,PSV Eindhoven,Vitesse,0.0,0.0,D,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,21/09/96,Sparta,Feyenoord,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,21/09/96,Willem II,Twente,1.0,2.0,A,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,22/09/96,Ajax,Graafschap,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,22/09/96,AZ Alkmaar,Utrecht,3.0,1.0,H,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,22/09/96,Groningen,Waalwijk,1.0,2.0,A,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,26/09/96,Waalwijk,Vitesse,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,28/09/96,Graafschap,Willem II,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,28/09/96,Roda JC,For Sittard,0.0,1.0,A,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,29/09/96,Groningen,AZ Alkmaar,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,29/09/96,Sparta,Nijmegen,1.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,29/09/96,Twente,Ajax,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,29/09/96,Utrecht,PSV Eindhoven,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,29/09/96,Vitesse,Feyenoord,4.0,2.0,H,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,29/09/96,Volendam,Heerenveen,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,29/09/96,Waalwijk,NAC Breda,1.0,2.0,A,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,08/10/96,For Sittard,Graafschap,0.0,3.0,A,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,08/10/96,PSV Eindhoven,Twente,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
Netherlands,Eredivisie,09/10/96,Ajax,Willem II,3.0,0.0,H,,,,,,,,,,,,,,,,,,,,,
