Country,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
Netherlands,Eredivisie,12/08/99,Sparta,Willem II,0.0,2.0,A,0.0,2.0,A,,,,,,,,,,,
Netherlands,Eredivisie,13/08/99,Den Bosch,Feyenoord,0.0,4.0,A,0.0,2.0,A,,,,,,,,,,,
Netherlands,Eredivisie,14/08/99,Cambuur,Vitesse,1.0,1.0,D,1.0,1.0,D,,,,,,,,,,,
Netherlands,Eredivisie,14/08/99,For Sittard,AZ Alkmaar,1.0,2.0,A,0.0,1.0,A,,,,,,,,,,,
Netherlands,Eredivisie,14/08/99,Graafschap,Roda JC,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,
Netherlands,Eredivisie,14/08/99,PSV Eindhoven,MVV Maastricht,4.0,1.0,H,2.0,1.0,H,,,,,,,,,,,
Netherlands,Eredivisie,15/08/99,Ajax,Heerenveen,3.0,2.0,H,0.0,1.0,A,,,,,,,,,,,
Netherlands,Eredivisie,15/08/99,Utrecht,Nijmegen,1.0,0.0,H,1.0,0.0,H,,,,,,,,,,,
Netherlands,Eredivisie,15/08/99,Waalwijk,Twente,1.0,1.0,D,0.0,1.0,A,,,,,,,,,,,
Netherlands,Eredivisie,20/08/99,MVV Maastricht,Ajax,2.0,6.0,A,1.0,2.0,A,,,,,,,,,,,
Netherlands,Eredivisie,21/08/99,Den Bosch,Graafschap,1.0,1.0,D,1.0,0.0,H,,,,,,,,,,,
Netherlands,Eredivisie,21/08/99,Heerenveen,Sparta,3.0,1.0,H,1.0,0.0,H,,,,,,,,,,,
Netherlands,Eredivisie,21/08/99,Roda JC,Waalwijk,1.0,2.0,A,1.0,1.0,D,,,,,,,,,,,
Netherlands,Eredivisie,21/08/99,Twente,Nijmegen,4.0,2.0,H,1.0,2.0,A,,,,,,,,,,,
Netherlands,Eredivisie,21/08/99,Willem II,For Sittard,2.0,2.0,D,0.0,1.0,A,,,,,,,,,,,
Netherlands,Eredivisie,22/08/99,Feyenoord,Cambuur,4.0,0.0,H,1.0,0.0,H,,,,,,,,,,,
Netherlands,Eredivisie,22/08/99,Vitesse,PSV Eindhoven,1.0,6.0,A,1.0,3.0,A,,,,,,,,,,,
Netherlands,Eredivisie,27/08/99,Cambuur,Ajax,0.0,3.0,A,0.0,1.0,A,,,,,,,,,,,
Netherlands,Eredivisie,28/08/99,PSV Eindhoven,For Sittard,2.0,1.0,H,1.0,1.0,D,,,,,,,,,,,
Netherlands,Eredivisie,28/08/99,Roda JC,Nijmegen,4.0,3.0,H,2.0,0.0,H,,,,,,,,,,,
