Country,Country
Div,League
Date,Data
HomeTeam,Home
AwayTeam,Away
FTHG,FT Home Goals
FTAG,FT Away Goals
FTR,FT Result
HTHG,HT Home Goals
HTAG,HT Away Goals
HTR,HT Result
Attendance,Crowd Attendance
Referee,Match Referee
HS,Shots (Home)
AS,Shots (Away)
HST,Shots on Target (Home)
AST,Shots on Target (Away)
HHW,Hit Woodwork (Home)
AHW,Hit Woodwork (Away)
HC,Corners (Home)
AC,Corners (Away)
HF,Fouls (Home)
AF,Fouls (Away)
HO,Offsides (Home)
AO,Offsides (Away)
HY,Yellow Cards (Home)
AY,Yellow Cards (Away)
HR,Red Cards (Home)
AR,Red Cards (Away)
HBP,Bookings Points (Home)
ABP,Bookings Points (Away)
B365H,Bet365 home win odds
B365D,Bet365 draw odds
B365A,Bet365 away win odds
BSH,Blue Square home win odds
BSD,Blue Square draw odds
BSA,Blue Square away win odds
BWH,Bet&Win home win odds
BWD,Bet&Win draw odds
BWA,Bet&Win away win odds
GBH,Gamebookers home win odds
GBD,Gamebookers draw odds
GBA,Gamebookers away win odds
IWH,Interwetten home win odds
IWD,Interwetten draw odds
IWA,Interwetten away win odds
LBH,Ladbrokes home win odds
LBD,Ladbrokes draw odds
LBA,Ladbrokes away win odds
PSH,Pinnacle Sports home win odds
PSD,Pinnacle Sports draw odds
PSA,Pinnacle Sports away win odds
SOH,Sporting Odds home win odds
SOD,Sporting Odds draw odds
SOA,Sporting Odds away win odds
SBH,Sportingbet home win odds
SBD,Sportingbet draw odds
SBA,Sportingbet away win odds
SJH,Stan James home win odds
SJD,Stan James draw odds
SJA,Stan James away win odds
SYH,Stanleybet home win odds
SYD,Stanleybet draw odds
SYA,Stanleybet away win odds
VCH,VC Bet home win odds
VCD,VC Bet draw odds
VCA,VC Bet away win odds
WHH,William Hill home win odds
WHD,William Hill draw odds
WHA,William Hill away win odds
Bb1X2,Number of BetBrain bookmakers used to calculate match odds averages and maximums
BbMxH,Betbrain maximum home win odds
BbAvH,Betbrain average home win odds
BbMxD,Betbrain maximum draw odds
BbAvD,Betbrain average draw win odds
BbMxA,Betbrain maximum away win odds
BbAvA,Betbrain average away win odds
BbOU,Number of BetBrain bookmakers used to calculate over/under 2.5 goals (total goals) averages and maximums
BbMx>2.5,Betbrain maximum over 2.5 goals
BbAv>2.5,Betbrain average over 2.5 goals
BbMx<2.5,Betbrain maximum under 2.5 goals
BbAv<2.5,Betbrain average under 2.5 goals
GB>2.5,Gamebookers over 2.5 goals
GB<2.5,Gamebookers under 2.5 goals
B365>2.5,Bet365 over 2.5 goals
B365<2.5,Bet365 under 2.5 goals
BbAH,Number of BetBrain bookmakers used to Asian handicap averages and maximums
BbAHh,Betbrain size of handicap (Home)
BbMxAHH,Betbrain maximum Asian handicap Home odds
BbAvAHH,Betbrain average Asian handicap Home odds
BbMxAHA,Betbrain maximum Asian handicap Away odds
BbAvAHA,Betbrain average Asian handicap Away odds
GBAHH,Gamebookers Asian handicap Home odds
GBAHA,Gamebookers Asian handicap Away odds
GBAH,Gamebookers size of handicap (Home)
LBAHH,Ladbrokes Asian handicap Home odds
LBAHA,Ladbrokes Asian handicap Away odds
LBAH,Ladbrokes size of handicap (Home)
B365AHH,Bet365 Asian handicap Home odds
B365AHA,Bet365 Asian handicap Away odds
B365AH,Bet365 size of handicap (Home)
